2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	0	0	2	2	0	0	0	2	2	0	0	0	0	0	2	2	0	0	2
2	2	0	2	2	0	2	0	0	2	0	2	2	2	0	2	0	0	0	2
2	2	0	2	0	0	2	2	0	2	0	2	2	2	0	2	0	2	2	2
2	0	0	2	0	2	2	2	0	0	0	2	2	2	0	2	0	2	2	2
2	0	2	2	0	2	2	2	2	2	2	2	0	0	0	2	0	0	2	2
2	0	2	2	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2	2
2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	0	2	2
2	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	2	2	2
2	2	2	2	0	2	0	2	0	2	2	0	2	2	0	2	2	2	2	2
2	2	2	2	0	2	0	2	0	2	2	0	2	2	0	0	0	2	0	2
2	0	0	0	0	2	0	2	0	2	2	0	2	2	2	2	0	2	0	2
2	0	2	2	2	2	0	2	0	2	2	0	2	2	0	0	0	0	0	2
2	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	2	0	0	2
2	2	2	0	2	2	2	2	0	0	2	0	2	2	0	2	2	0	0	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
19	3																		
4	15																		
18	14																		
